"location","date","vaccine","total_vaccinations","id"
"Argentina","2021-02-28","Oxford/AstraZeneca",263569,317
"Argentina","2021-02-28","Pfizer/BioNTech",2,318
"Argentina","2021-02-28","Sinopharm/Beijing",121,319
"Argentina","2021-02-28","Sputnik V",1010450,320
"Argentina","2021-03-01","CanSino",2,321
"Argentina","2021-03-01","Moderna",58,322
"Argentina","2021-03-01","Oxford/AstraZeneca",316870,323
"Argentina","2021-03-01","Pfizer/BioNTech",2,324
"Argentina","2021-03-01","Sinopharm/Beijing",823,325
"Argentina","2021-03-01","Sputnik V",1030988,326
"Argentina","2021-03-02","CanSino",2,327
"Argentina","2021-03-02","Moderna",58,328
"Argentina","2021-03-02","Oxford/AstraZeneca",368491,329
"Argentina","2021-03-02","Pfizer/BioNTech",2,330
"Argentina","2021-03-02","Sinopharm/Beijing",5777,331
"Argentina","2021-03-02","Sputnik V",1050010,332
"Argentina","2021-03-03","CanSino",2,333
"Argentina","2021-03-03","Moderna",58,334
"Argentina","2021-03-03","Oxford/AstraZeneca",404443,335
"Argentina","2021-03-03","Pfizer/BioNTech",2,336
"Argentina","2021-03-03","Sinopharm/Beijing",23602,337
"Argentina","2021-03-03","Sputnik V",1067682,338
"Argentina","2021-03-04","CanSino",2,339
"Argentina","2021-03-04","Moderna",58,340
"Argentina","2021-03-04","Oxford/AstraZeneca",430143,341
"Argentina","2021-03-04","Pfizer/BioNTech",2,342
"Argentina","2021-03-04","Sinopharm/Beijing",87901,343
"Argentina","2021-03-04","Sputnik V",1089734,344
"Argentina","2021-03-05","CanSino",2,345
"Argentina","2021-03-05","Moderna",58,346
"Argentina","2021-03-05","Oxford/AstraZeneca",454427,347
"Argentina","2021-03-05","Pfizer/BioNTech",2,348
"Argentina","2021-03-05","Sinopharm/Beijing",154407,349
"Argentina","2021-03-05","Sputnik V",1110670,350
"Argentina","2021-03-06","CanSino",2,351
"Argentina","2021-03-06","Moderna",58,352
"Argentina","2021-03-06","Oxford/AstraZeneca",462337,353
"Argentina","2021-03-06","Pfizer/BioNTech",2,354
"Argentina","2021-03-06","Sinopharm/Beijing",196829,355
"Argentina","2021-03-06","Sputnik V",1115269,356
"Argentina","2021-03-07","CanSino",2,357
"Argentina","2021-03-07","Moderna",58,358
"Argentina","2021-03-07","Oxford/AstraZeneca",467305,359
"Argentina","2021-03-07","Pfizer/BioNTech",2,360
"Argentina","2021-03-07","Sinopharm/Beijing",203270,361
"Argentina","2021-03-07","Sputnik V",1115646,362
"Argentina","2021-03-08","CanSino",2,363
"Argentina","2021-03-08","Moderna",58,364
"Argentina","2021-03-08","Oxford/AstraZeneca",498869,365
"Argentina","2021-03-08","Pfizer/BioNTech",3,366
"Argentina","2021-03-08","Sinopharm/Beijing",256199,367
"Argentina","2021-03-08","Sputnik V",1133620,368
"Argentina","2021-03-09","CanSino",2,369
"Argentina","2021-03-09","Moderna",58,370
"Argentina","2021-03-09","Oxford/AstraZeneca",515199,371
"Argentina","2021-03-09","Pfizer/BioNTech",3,372
"Argentina","2021-03-09","Sinopharm/Beijing",319308,373
"Argentina","2021-03-09","Sputnik V",1169965,374
"Argentina","2021-03-10","CanSino",2,375
"Argentina","2021-03-10","Moderna",58,376
"Argentina","2021-03-10","Oxford/AstraZeneca",527274,377
"Argentina","2021-03-10","Pfizer/BioNTech",3,378
"Argentina","2021-03-10","Sinopharm/Beijing",418027,379
"Argentina","2021-03-10","Sputnik V",1223114,380
"Argentina","2021-03-11","CanSino",2,381
"Argentina","2021-03-11","Moderna",58,382
"Argentina","2021-03-11","Oxford/AstraZeneca",537210,383
"Argentina","2021-03-11","Pfizer/BioNTech",3,384
"Argentina","2021-03-11","Sinopharm/Beijing",502897,385
"Argentina","2021-03-11","Sputnik V",1315113,386
"Argentina","2021-03-12","CanSino",2,387
"Argentina","2021-03-12","Moderna",58,388
"Argentina","2021-03-12","Oxford/AstraZeneca",544728,389
"Argentina","2021-03-12","Pfizer/BioNTech",3,390
"Argentina","2021-03-12","Sinopharm/Beijing",564025,391
"Argentina","2021-03-12","Sputnik V",1408079,392
"Argentina","2021-03-13","CanSino",2,393
"Argentina","2021-03-13","Moderna",58,394
"Argentina","2021-03-13","Oxford/AstraZeneca",547702,395
"Argentina","2021-03-13","Pfizer/BioNTech",3,396
"Argentina","2021-03-13","Sinopharm/Beijing",574528,397
"Argentina","2021-03-13","Sputnik V",1440979,398
"Argentina","2021-03-14","CanSino",2,399
"Argentina","2021-03-14","Moderna",58,400
"Argentina","2021-03-14","Oxford/AstraZeneca",547751,401
"Argentina","2021-03-14","Pfizer/BioNTech",3,402
"Argentina","2021-03-14","Sinopharm/Beijing",581183,403
"Argentina","2021-03-14","Sputnik V",1443443,404
"Argentina","2021-03-15","CanSino",2,405
"Argentina","2021-03-15","Moderna",58,406
"Argentina","2021-03-15","Oxford/AstraZeneca",554169,407
"Argentina","2021-03-15","Pfizer/BioNTech",3,408
"Argentina","2021-03-15","Sinopharm/Beijing",621788,409
"Argentina","2021-03-15","Sputnik V",1533979,410
"Argentina","2021-03-16","CanSino",2,411
"Argentina","2021-03-16","Moderna",58,412
"Argentina","2021-03-16","Oxford/AstraZeneca",557290,413
"Argentina","2021-03-16","Pfizer/BioNTech",3,414
"Argentina","2021-03-16","Sinopharm/Beijing",656451,415
"Argentina","2021-03-16","Sputnik V",1629890,416
"Argentina","2021-03-17","CanSino",2,417
"Argentina","2021-03-17","Moderna",58,418
"Argentina","2021-03-17","Oxford/AstraZeneca",559997,419
"Argentina","2021-03-17","Pfizer/BioNTech",3,420
"Argentina","2021-03-17","Sinopharm/Beijing",679411,421
"Argentina","2021-03-17","Sputnik V",1743764,422
"Argentina","2021-03-18","CanSino",2,423
"Argentina","2021-03-18","Moderna",58,424
"Argentina","2021-03-18","Oxford/AstraZeneca",561681,425
"Argentina","2021-03-18","Pfizer/BioNTech",3,426
"Argentina","2021-03-18","Sinopharm/Beijing",701551,427
"Argentina","2021-03-18","Sputnik V",1858863,428
"Argentina","2021-03-19","CanSino",2,429
"Argentina","2021-03-19","Moderna",58,430
"Argentina","2021-03-19","Oxford/AstraZeneca",563522,431
"Argentina","2021-03-19","Pfizer/BioNTech",4,432
"Argentina","2021-03-19","Sinopharm/Beijing",725148,433
"Argentina","2021-03-19","Sputnik V",1959587,434
"Argentina","2021-03-20","CanSino",2,435
"Argentina","2021-03-20","Moderna",58,436
"Argentina","2021-03-20","Oxford/AstraZeneca",563859,437
"Argentina","2021-03-20","Pfizer/BioNTech",4,438
"Argentina","2021-03-20","Sinopharm/Beijing",729085,439
"Argentina","2021-03-20","Sputnik V",2006174,440
"Argentina","2021-03-21","CanSino",3,441
"Argentina","2021-03-21","Moderna",58,442
"Argentina","2021-03-21","Oxford/AstraZeneca",563881,443
"Argentina","2021-03-21","Pfizer/BioNTech",4,444
"Argentina","2021-03-21","Sinopharm/Beijing",729434,445
"Argentina","2021-03-21","Sputnik V",2025428,446
"Argentina","2021-03-22","CanSino",3,447
"Argentina","2021-03-22","Moderna",58,448
"Argentina","2021-03-22","Oxford/AstraZeneca",565348,449
"Argentina","2021-03-22","Pfizer/BioNTech",4,450
"Argentina","2021-03-22","Sinopharm/Beijing",746819,451
"Argentina","2021-03-22","Sputnik V",2089608,452
"Argentina","2021-03-23","CanSino",3,453
"Argentina","2021-03-23","Moderna",58,454
"Argentina","2021-03-23","Oxford/AstraZeneca",570037,455
"Argentina","2021-03-23","Pfizer/BioNTech",4,456
"Argentina","2021-03-23","Sinopharm/Beijing",760371,457
"Argentina","2021-03-23","Sputnik V",2177809,458
"Argentina","2021-03-24","CanSino",3,459
"Argentina","2021-03-24","Moderna",58,460
"Argentina","2021-03-24","Oxford/AstraZeneca",571313,461
"Argentina","2021-03-24","Pfizer/BioNTech",4,462
"Argentina","2021-03-24","Sinopharm/Beijing",763507,463
"Argentina","2021-03-24","Sputnik V",2210852,464
"Argentina","2021-03-25","CanSino",3,465
"Argentina","2021-03-25","Moderna",58,466
"Argentina","2021-03-25","Oxford/AstraZeneca",572661,467
"Argentina","2021-03-25","Pfizer/BioNTech",4,468
"Argentina","2021-03-25","Sinopharm/Beijing",774404,469
"Argentina","2021-03-25","Sputnik V",2301775,470
"Argentina","2021-03-26","CanSino",3,471
"Argentina","2021-03-26","Moderna",58,472
"Argentina","2021-03-26","Oxford/AstraZeneca",575305,473
"Argentina","2021-03-26","Pfizer/BioNTech",4,474
"Argentina","2021-03-26","Sinopharm/Beijing",783571,475
"Argentina","2021-03-26","Sputnik V",2383509,476
"Argentina","2021-03-27","CanSino",3,477
"Argentina","2021-03-27","Moderna",58,478
"Argentina","2021-03-27","Oxford/AstraZeneca",576192,479
"Argentina","2021-03-27","Pfizer/BioNTech",4,480
"Argentina","2021-03-27","Sinopharm/Beijing",785876,481
"Argentina","2021-03-27","Sputnik V",2435391,482
"Argentina","2021-03-28","CanSino",3,483
"Argentina","2021-03-28","Moderna",58,484
"Argentina","2021-03-28","Oxford/AstraZeneca",577088,485
"Argentina","2021-03-28","Pfizer/BioNTech",6,486
"Argentina","2021-03-28","Sinopharm/Beijing",786351,487
"Argentina","2021-03-28","Sputnik V",2454834,488
"Argentina","2021-03-29","CanSino",3,489
"Argentina","2021-03-29","Moderna",58,490
"Argentina","2021-03-29","Oxford/AstraZeneca",580663,491
"Argentina","2021-03-29","Pfizer/BioNTech",7,492
"Argentina","2021-03-29","Sinopharm/Beijing",797855,493
"Argentina","2021-03-29","Sputnik V",2559928,494
"Argentina","2021-03-30","CanSino",3,495
"Argentina","2021-03-30","Moderna",58,496
"Argentina","2021-03-30","Oxford/AstraZeneca",583528,497
"Argentina","2021-03-30","Pfizer/BioNTech",7,498
"Argentina","2021-03-30","Sinopharm/Beijing",808357,499
"Argentina","2021-03-30","Sputnik V",2709552,500
"Argentina","2021-03-31","CanSino",3,501
"Argentina","2021-03-31","Moderna",58,502
"Argentina","2021-03-31","Oxford/AstraZeneca",603456,503
"Argentina","2021-03-31","Pfizer/BioNTech",7,504
"Argentina","2021-03-31","Sinopharm/Beijing",820356,505
"Argentina","2021-03-31","Sputnik V",2852531,506
"Argentina","2021-04-01","CanSino",3,507
"Argentina","2021-04-01","Moderna",58,508
"Argentina","2021-04-01","Oxford/AstraZeneca",629012,509
"Argentina","2021-04-01","Pfizer/BioNTech",7,510
"Argentina","2021-04-01","Sinopharm/Beijing",824118,511
"Argentina","2021-04-01","Sputnik V",2940334,512
"Argentina","2021-04-02","CanSino",3,513
"Argentina","2021-04-02","Moderna",58,514
"Argentina","2021-04-02","Oxford/AstraZeneca",641829,515
"Argentina","2021-04-02","Pfizer/BioNTech",7,516
"Argentina","2021-04-02","Sinopharm/Beijing",826434,517
"Argentina","2021-04-02","Sputnik V",2993343,518
"Argentina","2021-04-03","CanSino",3,519
"Argentina","2021-04-03","Moderna",58,520
"Argentina","2021-04-03","Oxford/AstraZeneca",660471,521
"Argentina","2021-04-03","Pfizer/BioNTech",7,522
"Argentina","2021-04-03","Sinopharm/Beijing",827536,523
